Day	Label	Bag
D42	Side	d
D2	SmoothDisc	d
D14	Side	d
D14	SmoothDisc	e
D42	Side	T
D14	SmoothDisc	T
D99	CrenatedDisc_	x
D2	SmoothDisc	d
D14	SmoothDisc	d
D14	CrenatedDisc_	d
D42	CrenatedDisc_	T
D14	CrenatedDisc_	e
D42	SmoothDisc	T
D2	SmoothDisc	T
D2	SmoothDisc	T
D42	CrenatedDisc_	e
D42	Side	e
D42	CrenatedDisc_	d
D2	SmoothDisc	d
D14	SmoothDisc	T
D2	CrenatedDisc_	T
D2	SmoothDisc	d
D42	SmoothDisc	d
D2	Side	T
D42	Side	d
D2	CrenatedDisc_	d
D14	Side	e
D42	SmoothDisc	e
D14	CrenatedDisc_	d
D14	CrenatedDisc_	T
D2	SmoothDisc	T
D2	Side	e
D14	SmoothDisc	d
D99	SmoothSphere	x
D14	SmoothDisc	e
D2	Side	e
D2	SmoothDisc	d
D99	SmoothSphere	x
D2	SmoothDisc	d
D42	Side	e
D42	SmoothDisc	e
D2	Side	T
D2	SmoothDisc	e
D42	SmoothDisc	e
D42	SmoothDisc	d
D14	CrenatedDisc_	T
D99	SmoothSphere	x
D2	SmoothDisc	e
D14	SmoothDisc	e
D42	CrenatedSpheroid	T
D2	SmoothDisc	e
D14	Side	d
D14	SmoothDisc	e
D42	CrenatedDisc_	e
D14	SmoothDisc	T
D42	Side	T
D42	SmoothDisc	e
D42	CrenatedDiscoid	d
D42	Side	d
D14	Side	d
D42	SmoothDisc	e
D42	Side	T
D14	SmoothDisc	e
D2	SmoothDisc	e
D14	CrenatedDisc_	d
D2	Side	e
D14	CrenatedDisc_	e
D42	Side	e
D2	SmoothDisc	d
D2	Side	T
D2	CrenatedSpheroid	T
D14	Side	T
D99	Side	x
D2	SmoothDisc	e
D2	Side	d
D42	SmoothDisc	d
D14	SmoothDisc	e
D2	SmoothDisc	T
D2	SmoothDisc	d
D42	CrenatedSpheroid	T
D14	SmoothDisc	d
D42	CrenatedSphere	T
D2	SmoothDisc	e
D2	SmoothDisc	d
D42	CrenatedSpheroid	T
D42	SmoothDisc	e
D2	Side	T
D42	CrenatedSpheroid	e
D2	Side	d
D42	SmoothDisc	e
D14	SmoothDisc	e
